city_ru;city_en
Абаза;Abaza
Абакан;Abakan
Абдулино;Abdulino
Абинск;Abinsk
Агидель;Agidel
Агрыз;Agryz
Адыгейск;Adygeisk
Азнакаево;Aznakaevo
Азов;Azov
Ак-Довурак;Ak-Dovurak
Аксай;Aksai
Алагир;Alagir
Алапаевск;Alapayevsk
Алатырь;Alatyr
Алдан;Aldan
Алейск;Aleysk
Александров;Alexandrov
Александровск;Alexandrovsk
Александровск-Сахалинский;Alexandrovsk-Sakhalinsky
Алексеевка;Alekseevka
Алексин;Aleksin
Алзамай;Alzamai
Алушта;Alushta
Альметьевск;Almetyevsk
Амурск;Amursk
Анадырь;Anadyr
Анапа;Anapa
Ангарск;Angarsk
Андреаполь;Andreapol
Анжеро-Судженск;Anzhero-Sudzhensk
Анива;Aniva
Апатиты;Apatites
Апрелевка;Aprelevka
Апшеронск;Apsheronsk
Арамиль;Aramil
Аргун;Argun
Ардатов;Ardatov
Ардон;Ardon
Арзамас;Arzamas
Аркадак;Arkadak
Армавир;Armavir
Армянск;Armiansk
Арсеньев;Arsenyev
Арск;Arsk
Артем;Artem
Артемовск;Artemovsk
Артемовский;Artyomovsky
Архангельск;Arkhangelsk
Асбест;Asbestos
Асино;Asino
Астрахань;Astrakhan
Аткарск;Atkarsk
Ахтубинск;Akhtubinsk
Ачинск;Achinsk
Аша;Asha
Бабаево;Babaevo
Бабушкин;Babushkin
Бавлы;Bavly
Багратионовск;Bagrationovsk
Байкальск;Baikalsk
Баймак;Baymak
Бакал;Bakal
Баксан;Baksan
Балабаново;Balabanovo
Балаково;Balakovo
Балахна;Balakhna
Балашиха;Balashikha
Балашов;Balashov
Балей;Baley
Балтийск;Baltiysk
Барабинск;Barabinsk
Барнаул;Barnaul
Барыш;Younglady
Батайск;Bataysk
Бахчисарай;Bakhchisarai
Бежецк;Bezhetsk
БелаяКалитва;BelayaKalitva
БелаяХолуница;BelayaKholunitsa
Белгород;Belgorod
Белебей;Belebey
Белев;Belev
Белинский;Belinsky
Белово;Belovo
Белогорск;Belogorsk
Белозерск;Belozersk
Белокуриха;Belokurikha
Беломорск;Belomorsk
Белоозёрский;Beloozersky
Белорецк;Beloretsk
Белореченск;Belorechensk
Белоусово;Belousovo
Белоярский;Beloyarsk
Белый;White
Бердск;Berdsk
Березники;Berezniki
Березовский;Berezovsky
Беслан;Beslan
Бийск;Biysk
Бикин;Bikin
Билибино;Bilibino
Биробиджан;Birobidzhan
Бирск;Birsk
Бирюсинск;Biryusinsk
Бирюч;Biryuch
Благовещенск;Blagoveshchensk
Благодарный;Grateful
Бобров;Bobrov
Богданович;Bogdanovich
Богородицк;Bogoroditsk
Богородск;Bogorodsk
Боготол;Bogotol
Богучар;Boguchar
Бодайбо;Bodaibo
Бокситогорск;Boksitogorsk
Болгар;Bulgarians
Бологое;Bologoe
Болотное;Bolotnoe
Болохово;Bolokhovo
Болхов;Bolkhov
БольшойКамень;TheBigStone
Бор;Boron
Борзя;Borzya
Борисоглебск;Borisoglebsk
Боровичи;Borovichi
Боровск;Borovsk
Бородино;Borodino
Братск;Bratsk
Бронницы;Bronnitsy
Брянск;Bryansk
Бугульма;Bugulma
Бугуруслан;Buguruslan
Буденновск;Budennovsk
Бузулук;Buzuluk
Буинск;Buinsk
Буй;Buoy
Буйнакск;Buinaksk
Бутурлиновка;Buturlinovka
Валдай;Valdai
Валуйки;Valuyki
Велиж;Velizh
ВеликиеЛуки;GreatBows
ВеликийНовгород;VelikyNovgorod
ВеликийУстюг;VelikyUstyug
Вельск;Velsk
Венев;Venev
Верещагино;Vereshchagino
Верея;Vereya
Верхнеуральск;Verkhneuralsk
ВерхнийТагил;VerkhnyTagil
ВерхнийУфалей;UpperUfaley
ВерхняяПышма;UpperPyshma
ВерхняяСалда;UpperSalda
ВерхняяТура;UpperTour
Верхотурье;Verkhoturye
Верхоянск;Verkhoyansk
Весьегонск;Vesyegonsk
Ветлуга;Vetluga
Видное;Prominent
Вилюйск;Vilyuysk
Вилючинск;Vilyuchinsk
Вихоревка;Vikhorevka
Вичуга;Vichuga
Владивосток;Vladivostok
